month,winner,loser,wml,n_win,n_los
1994-04-30,0.16514284369745003,-0.12768365117326885,0.2928264948707189,80,80
1994-05-31,0.01258551326793067,0.12819869650160332,-0.11561318323367265,80,80
1994-06-30,-0.027848631553199832,0.042671360324255225,-0.07051999187745506,80,80
1994-07-31,0.0366218825757032,0.03496186215271102,0.0016600204229921811,80,80
1994-08-31,0.06698464055013931,-0.07266412560336855,0.13964876615350785,80,80
1994-09-30,0.08444111571849588,0.1559513942289965,-0.07151027851050062,80,80
1994-10-31,0.050370502519543114,0.1109892686005376,-0.06061876608099448,80,80
1994-11-30,-0.0517752860866767,0.04299622344439591,-0.0947715095310726,80,80
1994-12-31,-0.09638718355811737,-0.037949391085622675,-0.0584377924724947,80,80
1995-01-31,-0.04337621134772973,-0.1337145024177141,0.09033829106998437,80,80
1995-02-28,-0.11376117928316876,-0.0686406976452073,-0.04512048163796145,80,80
1995-03-31,0.09437353619429567,0.08056522309392289,0.013808313100372782,80,80
1995-04-30,-0.028680591534672506,0.02324048158554426,-0.051921073120216765,81,81
1995-05-31,-0.07607971963700466,-0.012240770165510728,-0.06383894947149393,81,81
1995-06-30,0.05907770484282815,0.02342776420492987,0.03564994063789828,81,81
1995-07-31,0.04006818323997985,0.07225867097318961,-0.03219048773320976,81,81
1995-08-31,-0.04990705745263535,0.030192162351506457,-0.08009921980414181,81,81
1995-09-30,0.127495896325301,0.11872558195373806,0.008770314371562948,82,82
1995-10-31,-0.03395099771329202,0.00030077502839209735,-0.03425177274168412,82,82
1995-11-30,-0.07910565934731106,-0.06327142638859429,-0.015834232958716776,82,83
1995-12-31,-0.02070013337758836,-0.07955064447014126,0.058850511092552904,84,84
1996-01-31,0.006052290362022594,0.031457558141268605,-0.02540526777924601,84,84
1996-02-29,-0.04192662513572809,-0.0615463266103462,0.019619701474618112,84,85
1996-03-31,-0.027628814779324995,0.01723586962094381,-0.044864684400268806,84,84
1996-04-30,0.11220536631752775,0.17854640427918245,-0.06634103796165469,85,85
1996-05-31,-0.017371510344388663,-0.06920767603129752,0.05183616568690885,85,85
1996-06-30,-0.10901467242269525,-0.11522504474901707,0.0062103723263218225,85,85
1996-07-31,0.06104234724507274,-0.030006072290888253,0.09104841953596099,85,85
1996-08-31,-0.1013357198099043,-0.008823246997131329,-0.09251247281277297,86,86
1996-09-30,0.039157272933801,-0.01222615112876313,0.05138342406256413,86,86
1996-10-31,-0.09787484943581404,-0.016296960657169124,-0.08157788877864491,86,86
1996-11-30,-0.07115308227410944,-0.015802467124889086,-0.05535061514922035,87,87
1996-12-31,-0.16655161529611717,-0.16900232283459604,0.002450707538478869,87,87
1997-01-31,0.18657301803116377,0.0680074963600441,0.11856552167111967,88,88
1997-02-28,0.08287859932640651,0.05721128979288648,0.025667309533520033,88,88
1997-03-31,-0.04517025824955223,0.014302047710900156,-0.05947230596045239,88,88
1997-04-30,0.020384702049800252,0.0056584103184442736,0.014726291731355978,89,89
1997-05-31,-0.04395308932863151,0.26403334132351985,-0.30798643065215137,88,89
1997-06-30,-0.015951166516099957,0.02051137691108007,-0.03646254342718003,89,89
1997-07-31,-0.017780383764292362,-0.07509300358937443,0.05731261982508207,88,88
1997-08-31,-0.011194449185419897,-0.09008571738063709,0.07889126819521719,120,121
1997-09-30,-0.030542013431515413,-0.07061425090699147,0.04007223747547606,120,121
