Date,rmrf,smb,hml
1990-03-14,-0.003966688158648054,,
1990-03-15,-0.003507707229881264,,
1990-03-16,0.00815883879642695,,
1990-03-17,-0.008229305111751963,,
1990-03-19,0.00512022232691214,,
1990-03-20,0.013089196927231404,,
1990-03-21,-0.0005858196462425409,,
1990-03-22,-0.004675957061016005,,
1990-03-23,-0.004653990935056818,,
1990-03-24,-0.005083653916638913,,
1990-03-26,-0.003333036955714008,,
1990-03-27,-0.007641272234594204,,
1990-03-28,-0.010823794665937936,,
1990-03-29,0.006344947377933551,,
1990-03-30,0.02819269798394103,,
1990-03-31,-0.0064535304490142475,,
1990-04-02,-0.003591843596801403,,
1990-04-03,-0.0020946958497273334,,
1990-04-04,-0.009277744338017258,,
1990-04-06,0.0035361958042510262,,
1990-04-07,-0.01497601063043464,,
1990-04-09,-0.003315180792660263,,
1990-04-10,-0.007255670394113684,,
1990-04-11,0.0034675841112320072,,
1990-04-12,-0.008630184225022179,,
1990-04-13,-0.004766044490407855,,
1990-04-14,-0.012161729959254495,,
1990-04-16,-0.02027009228696519,,
1990-04-17,0.025516846552774766,,
1990-04-18,-0.01859486858914802,,
1990-04-19,-0.0169431158804777,,
1990-04-20,-0.0011219625666906525,,
1990-04-21,0.016392401029937966,,
1990-04-23,-0.007527980949053303,,
1990-04-24,-0.008129936502636116,,
1990-04-25,-0.017525874441732738,,
1990-04-26,-0.03821472785331442,,
1990-04-27,0.031513071479237084,,
1990-04-28,-0.03846750418053717,,
1990-04-30,-0.044260769266000755,,
1990-05-01,0.043425898460978093,,
1990-05-03,0.04526433784784921,,
1990-05-04,0.042264808973664844,,
1990-05-07,0.012526248259176245,,
1990-05-08,0.00644709725289109,,
1990-05-09,-0.0043762558416915506,,
1990-05-10,-0.027254829121266994,,
1990-05-11,-0.01211433406104776,,
1990-05-12,-0.017716308172146127,,
1990-05-14,-0.01989727015871409,,
1990-05-15,-0.012996021576162876,,
1990-05-16,0.044362166196959034,,
1990-05-17,0.022363998761603485,,
1990-05-18,-0.009886196137886752,,
1990-05-19,-0.0015640334860644086,,
1990-05-21,0.006862105681446426,,
1990-05-22,0.020621267417552613,,
1990-05-23,0.0024498111043368145,,
1990-05-24,-0.002989114340410721,,
1990-05-25,0.005959176950507073,,
1990-05-26,-0.008591450218585166,,
1990-05-28,-0.006982856792743619,,
1990-05-29,0.00723587199575993,,
1990-05-30,0.007286478194598357,,
1990-05-31,0.010420651672024142,,
1990-06-01,0.007211001924228564,,
1990-06-02,0.0016360995532336332,,
1990-06-04,0.012097855356950982,,
1990-06-05,-0.008013781635895749,,
1990-06-07,-0.00481003577631784,,
1990-06-08,0.00033050781140162873,,
1990-06-09,-0.006960480738164359,,
1990-06-11,-0.015990073290050026,,
1990-06-12,-0.0019165627597634996,,
1990-06-13,-0.005765523738861014,,
1990-06-14,-0.010432615453078366,,
1990-06-15,-0.0019923674152685137,,
1990-06-16,0.0045034806104999065,,
1990-06-18,-0.02305838840334708,,
1990-06-19,-0.009117971703833765,,
1990-06-20,-0.011817584431473087,,
1990-06-21,0.0031267286808666474,,
1990-06-22,0.005976227196255141,,
1990-06-23,-0.0003546895879941022,,
1990-06-25,-0.01016686467889654,,
1990-06-26,-0.0046831933747557295,,
1990-06-27,0.005147478179264426,,
1990-06-28,-0.009966227347583513,,
1990-06-29,-0.01676197124179221,,
1990-06-30,-0.0194684731306385,,
1990-07-02,0.009422755856010896,,
1990-07-03,0.04465650485642444,,
1990-07-04,-0.013121096769409646,,
1990-07-05,-0.016670573863415465,,
1990-07-06,-0.009589527990949505,,
1990-07-07,-0.003825133370767699,,
1990-07-09,0.002131185068802141,,
1990-07-10,0.004813189690425873,,
1990-07-11,-0.011135242053963232,,
1990-07-12,-0.013625299626292903,,
1990-07-13,-0.018594182705368095,,
1990-07-14,0.0010726972297134653,,
1990-07-16,-0.008883888015997555,,
1990-07-18,0.022462171545540734,,
1990-07-19,-0.0060051053493322785,,
1990-07-20,0.001348623425022044,,
1990-07-21,-0.011236685568801828,,
1990-07-23,-0.007578596017540567,,
1990-07-24,-0.002339662155927021,,
1990-07-25,0.008425140169223848,,
1990-07-26,-0.012056599669194453,,
1990-07-27,-0.005452362376673968,,
1990-07-28,0.008680361461415813,,
