month,rmrf,smb,hml,wml,wml_star,rv_ann,sigma_hat,scale
1992-02-29,-0.1011631746943242,0.116429664939861,-0.0706703442956644,-0.0730644891765581,-0.03312855294189482,41.021731837458425,0.07640020239026277,0.4534152406354431
1992-03-31,-0.0081783803698188,0.1285617277323438,-0.0125208221776408,0.4330771706542765,0.16595346382742618,54.87683863471258,0.09040024183543645,0.38319605620566427
1992-04-30,0.0152837990673988,-0.0379461212115218,0.1134879465125522,-0.3316543951269112,-0.10402678471695317,40.99267630674955,0.1104412223210274,0.3136602024440116
1992-05-31,-0.0687614800624174,0.1200258202154349,0.0533379122635326,0.1010063665096385,0.029416447328752166,31.606555171406004,0.11894581063949206,0.29123359591343295
1992-06-30,-0.0349853706413562,-0.1453533774426793,0.0733423399958848,-0.1316828192249242,-0.036733487967478155,23.552976342452318,0.12418169142195663,0.278954294749223
1992-07-31,-0.0762499612112009,-0.0088850558097305,-0.0194677322947186,-0.0569857038000323,-0.01675263677889758,24.327584172086258,0.11783474516806418,0.2939796415901787
1992-08-31,0.1049138733060675,-0.0147218914316115,-0.0067268427180636,0.1134467610260521,0.03581958599718664,37.57569034364223,0.10971402855782879,0.3157391685158907
1992-09-30,-0.0876473861306682,-0.0087744025969552,-0.0051272550247006,-0.0350116581529609,-0.012543607347798316,35.09806577178286,0.09668984223873274,0.3582694453658007
1992-10-31,0.2008673047629312,-0.099682869898818,-0.0031433914865051,-0.1431428270547594,-0.05494049982141966,35.09245806942419,0.09025423867775859,0.3838159476925947
1992-11-30,0.0785733965352037,-0.0153565485475343,-0.026202944512482,-0.1377895374721146,-0.0545446319780116,42.235729995823235,0.08750942888360776,0.395854670671568
1992-12-31,0.020396184892617,0.100288500116094,-0.0218496625543669,-0.1110287196153592,-0.03942913730967401,30.581074486705905,0.09754582351764435,0.3551255697288935
1993-01-31,-5.371594095693322e-05,0.1330071802481343,-0.0414623992863438,0.0241019392048142,0.008416446334550664,20.61791620451151,0.09920049770246205,0.3492020398453887
1993-02-28,-0.0383273165282049,0.0100590525003225,0.0072950927433623,0.0653963881777338,0.02354289356978982,10.56824342343146,0.09622425265573913,0.36000296386101827
1993-03-31,0.0371805071130912,-0.044184083358152,-0.0149617094507031,-0.0464222794799251,-0.019312575363756114,10.792491101887157,0.08326776222014363,0.41601954018883675
1993-04-30,0.0826870858142527,-0.0118647876625763,0.018662353050495,-0.0231576164481952,-0.010725403833252063,14.265052800768727,0.07479470030976905,0.4631480039081463
1993-05-31,0.0415342893867543,0.0507704244819884,-0.0159616783121046,0.0726471454774617,0.04231129638625496,9.802886910296886,0.05947751912072697,0.5824220085754334
1993-06-30,-0.0047662547747947,0.0746568281591468,-0.0152243464007978,-0.0477730801055702,-0.037384100688680325,16.03161086128445,0.044267696936714236,0.7825348628572402
1993-07-31,-0.0251414622673231,0.0345574598504916,-0.0044285844761557,-0.0011793298766215,-0.001142808174739488,8.864642916387336,0.0357480688420524,0.9690318183181809
1993-08-31,-0.0881312457810588,-0.0930125627757714,0.0310249130505979,-0.097362525023894,-0.09781353628371577,17.763723649515082,0.03448128888938978,1.004632288035988
1993-09-30,0.0817235871099886,0.0366986772255586,-0.0175109548891725,0.0749908550103537,0.06792003077590565,13.068572006587376,0.03824732394763312,0.9057108465629334
1993-10-31,0.0428844265972245,0.0754745864251378,-1.532778027479864e-05,-0.0372688996880317,-0.033636785492909535,10.310463978736866,0.03838156759388672,0.9025430258063519
