This file was created using the 202605 Bloomberg database.

Missing data are indicated by -99.99.



,WML
19920306    ,0.24
19920309   ,-0.19
19920310   ,-0.74
19920311    ,0.88
19920312    ,0.03
19920313   ,-0.21
19920316    ,0.22
19920317   ,-0.08
19920318    ,0.09
19920319   ,-0.46
19920320   ,-0.09
19920323    ,0.26
19920324    ,0.17
19920325    ,0.47
19920326   ,-0.02
19920327   ,-0.14
19920330    ,0.17
19920331    ,0.06
19920401    ,0.44
19920402    ,0.00
19920403    ,0.14
19920406   ,-0.12
19920407    ,0.38
19920408    ,0.12
19920409    ,0.03
19920410    ,0.33
19920413    ,0.10
19920414    ,0.08
19920415    ,0.08
19920416   ,-0.07
19920417   ,-0.48
19920420   ,-0.07
19920421    ,0.28
19920422    ,0.10
19920423   ,-0.25
19920424   ,-0.08
19920427   ,-0.29
19920428   ,-0.12
19920429    ,0.20
19920430   ,-0.05
19920501   ,-0.05
19920504    ,0.05
19920505    ,0.12
19920506   ,-0.22
19920507    ,0.10
19920508    ,0.29
19920511    ,0.15
19920512    ,0.56
19920513   ,-0.01
19920514    ,0.22
19920515    ,0.38
19920518   ,-0.39
19920519   ,-0.05
19920520    ,0.20
19920521   ,-0.23
19920522    ,0.01
19920525   ,-0.17
19920526   ,-0.30
19920527   ,-0.10
19920528    ,0.28
19920529   ,-0.19
19920601    ,0.04
19920602   ,-0.19
19920603    ,0.48
19920604    ,0.43
19920605   ,-0.01
19920608    ,0.22
19920609    ,0.15
19920610    ,0.21
19920611   ,-0.17
19920612    ,1.07
19920615    ,0.10
19920616    ,0.42
19920617   ,-0.08
19920618   ,-0.09
19920619    ,0.04
19920622   ,-0.01
19920623    ,0.33
19920624    ,0.49
19920625    ,0.40
19920626    ,0.88
19920629    ,0.57
19920630    ,0.31
19920701    ,0.21
19920702    ,0.13
19920703    ,0.06
19920706   ,-0.13
19920707    ,0.39
19920708   ,-0.05
19920709    ,0.32
19920710    ,0.37
19920713   ,-0.05
19920714   ,-0.11
19920715    ,0.41
19920716    ,0.49
19920717    ,1.02
19920720    ,1.10
19920721   ,-0.10
19920722    ,0.27
19920723    ,0.21
19920724   ,-0.16
19920727   ,-0.23
19920728    ,0.05
19920729    ,0.09
19920730    ,0.33
19920731   ,-0.12
19920803   ,-0.38
19920804    ,0.25
19920805    ,0.45
19920806    ,0.36
19920807    ,0.76
19920810    ,0.70
19920811    ,0.86
19920812    ,0.30
19920813    ,0.55
19920814   ,-0.18
19920817   ,-0.66
19920818    ,0.75
19920819    ,0.55
19920820    ,0.31
19920821    ,0.45
19920824    ,0.95
19920825    ,0.56
19920826    ,0.15
19920827   ,-0.43
19920828    ,0.10
19920831    ,0.11
19920901    ,0.74
19920902    ,0.17
19920903   ,-0.35
19920904    ,0.56
19920907    ,0.50
19920908    ,0.39
19920909    ,0.59
19920910    ,0.13
19920911   ,-0.09
19920914   ,-1.11
19920915    ,1.17
19920916    ,2.25
19920917   ,-1.37
19920918   ,-1.20
19920921   ,-0.70
19920922    ,0.27
19920923    ,0.20
19920924    ,0.08
19920925    ,0.25
19920928    ,0.84
19920929    ,0.87
19920930    ,0.27
19921001    ,0.31
19921002   ,-0.24
19921005    ,1.42
19921006   ,-0.17
19921007   ,-0.70
19921008   ,-0.80
19921009   ,-0.87
19921012    ,0.19
19921013   ,-0.24
19921014   ,-0.07
19921015    ,0.06
19921016   ,-0.47
19921019    ,0.10
19921020   ,-0.76
19921021   ,-0.33
19921022   ,-0.48
19921023   ,-0.32
19921026   ,-0.79
19921027   ,-0.04
19921028   ,-0.59
19921029   ,-0.56
19921030   ,-0.40
19921102   ,-0.59
19921103   ,-0.25
19921104    ,0.99
19921105    ,0.73
19921106   ,-0.10
19921109   ,-0.47
19921110   ,-0.58
19921111    ,0.09
19921112   ,-0.46
19921113   ,-0.69
19921116   ,-0.87
19921117   ,-0.71
19921118    ,0.58
19921119    ,0.63
19921120    ,0.13
19921123    ,0.72
19921124    ,0.76
19921125   ,-0.18
19921126    ,0.20
19921127    ,0.09
19921130   ,-0.13
19921201   ,-0.04
19921202    ,0.24
19921203    ,0.35
19921204   ,-0.02
19921207   ,-0.26
19921208    ,0.11
19921209    ,0.38
19921210    ,0.07
19921211    ,0.37
19921214    ,0.39
19921215    ,0.47
19921216    ,0.14
19921217    ,0.01
19921218   ,-0.30
19921221   ,-0.25
19921222   ,-0.19
19921223    ,0.07
19921224   ,-0.09
19921225   ,-0.02
19921228   ,-0.11
19921229   ,-0.13
19921230   ,-0.05
19921231    ,0.27
19930101   ,-0.03
19930104    ,0.25
19930105    ,0.23
19930106   ,-0.11
19930107   ,-0.57
19930108    ,0.03
19930111    ,0.24
19930112   ,-0.12
19930113   ,-0.02
19930114   ,-0.36
19930115   ,-0.72
19930118   ,-0.84
19930119   ,-0.32
19930120   ,-0.55
19930121    ,0.05
19930122   ,-0.07
19930125    ,0.35
19930126   ,-0.46
19930127   ,-0.24
19930128    ,0.48
19930129   ,-0.42
19930201   ,-0.02
19930202   ,-0.34
19930203    ,0.03
19930204    ,0.18
19930205   ,-0.78
19930208   ,-0.58
19930209   ,-0.16
19930210   ,-0.33
19930211    ,0.44
19930212   ,-0.10
19930215    ,0.01
19930216    ,0.17
19930217    ,0.18
19930218   ,-0.17
19930219    ,0.53
19930222    ,0.28
19930223    ,0.01
19930224   ,-0.05
19930225   ,-0.30
19930226   ,-0.04
19930301   ,-0.23
19930302   ,-0.08
19930303    ,0.32
19930304   ,-0.27
19930305    ,0.27
19930308   ,-0.25
19930309    ,0.11
19930310   ,-0.25
19930311    ,0.41
19930312    ,0.18
19930315    ,0.02
19930316    ,0.35
19930317    ,0.44
19930318    ,0.28
19930319    ,0.42
19930322    ,0.79
19930323   ,-0.31
19930324    ,0.06
19930325    ,0.49
19930326   ,-0.11
19930329    ,0.38
19930330    ,0.19
19930331   ,-0.15
19930401    ,0.34
19930402    ,0.18
19930405   ,-0.02
19930406    ,0.00
19930407    ,0.05
19930408   ,-0.17
19930409   ,-0.02
19930412   ,-0.11
19930413   ,-0.14
19930414   ,-0.16
19930415   ,-0.18
19930416   ,-0.14
19930419   ,-0.55
19930420   ,-0.28
19930421   ,-0.37
19930422   ,-0.54
19930423    ,0.06
19930426   ,-0.39
19930427   ,-0.31
19930428   ,-0.25
19930429    ,0.25
19930430   ,-0.39
19930503   ,-0.17
19930504    ,0.02
19930505   ,-0.14
19930506   ,-0.19
19930507   ,-0.01
19930510   ,-0.06
19930511    ,0.04
19930512   ,-0.15
19930513    ,0.51
19930514   ,-0.20
19930517   ,-0.33
19930518   ,-0.14
19930519    ,0.36
19930520    ,0.13
19930521   ,-0.09
19930524    ,0.17
19930525   ,-0.10
19930526    ,0.53
19930527    ,0.14
19930528    ,0.43
19930531    ,0.03
19930601   ,-0.11
19930602   ,-0.19
19930603   ,-0.01
19930604    ,0.13
19930607    ,0.05
19930608    ,0.20
19930609   ,-0.13
19930610    ,0.15
19930611   ,-0.01
19930614   ,-0.01
19930615    ,0.21
19930616    ,0.14
19930617    ,0.10
19930618    ,0.01
19930621    ,0.06
19930622    ,0.05
19930623    ,0.08
19930624    ,0.19
19930625    ,0.37
19930628    ,0.02
19930629    ,0.28
19930630    ,0.23
19930701    ,0.22
19930702    ,0.15
19930705    ,0.22
19930706    ,0.02
19930707   ,-0.37
19930708   ,-0.27
19930709   ,-0.03
19930712   ,-0.32
19930713    ,0.31
19930714    ,0.52
19930715   ,-0.09
19930716   ,-0.18
19930719   ,-0.18
19930720   ,-0.14
19930721    ,0.18
19930722    ,0.04
19930723   ,-0.14
19930726   ,-0.33
19930727    ,0.06
19930728    ,0.07
19930729    ,0.31
19930730    ,0.47
19930802   ,-0.18
19930803   ,-0.22
19930804    ,0.01
19930805    ,0.05
19930806   ,-0.18
19930809   ,-0.03
19930810   ,-0.18
19930811    ,0.16
19930812    ,0.17
19930813   ,-0.32
19930816    ,0.14
19930817   ,-0.18
19930818   ,-0.41
19930819   ,-0.02
19930820   ,-0.27
19930823    ,0.02
19930824   ,-0.28
19930825   ,-0.50
19930826    ,0.54
19930827   ,-0.18
19930830   ,-0.31
19930831   ,-0.25
19930901    ,0.00
19930902   ,-0.61
19930903    ,0.12
19930906   ,-0.08
19930907    ,0.33
19930908    ,0.02
19930909    ,0.40
19930910    ,0.15
19930913    ,0.20
19930914    ,0.10
19930915   ,-0.21
19930916   ,-0.34
19930917    ,0.01
19930920   ,-0.03
19930921    ,0.22
19930922    ,0.09
19930923    ,0.46
19930924   ,-0.02
19930927    ,0.43
19930928   ,-0.09
19930929    ,0.29
19930930    ,0.29
19931001    ,0.27
19931004    ,0.08
19931005    ,0.13
19931006    ,0.15
19931007    ,0.09
19931008   ,-0.03
19931011    ,0.10
19931012   ,-0.18
19931013    ,0.26
19931014    ,0.19
19931015    ,0.13
19931018   ,-0.27
19931019    ,0.03
19931020    ,0.17
19931021   ,-0.01
19931022    ,0.08
19931025    ,0.05
19931026    ,0.16
19931027    ,0.23
19931028    ,0.30
19931029    ,0.24
19931101    ,0.19
19931102    ,0.10
19931103    ,0.30
19931104   ,-0.01
19931105   ,-0.17
19931108   ,-0.14
19931109   ,-0.02
19931110    ,0.12
19931111    ,0.16
19931112    ,0.02
19931115   ,-0.06
19931116   ,-0.03
19931117   ,-0.14
19931118    ,0.21
19931119   ,-0.18
19931122   ,-0.16
19931123   ,-0.32
19931124    ,0.06
19931125    ,0.01
19931126   ,-0.26
19931129   ,-0.38
19931130    ,0.17
19931201    ,0.13
19931202    ,0.26
19931203   ,-0.07
19931206    ,0.31
19931207   ,-0.01
19931208    ,0.00
19931209   ,-0.18
19931210    ,0.09
19931213    ,0.03
19931214    ,0.09
19931215   ,-0.54
19931216    ,0.05
19931217    ,0.06
19931220    ,0.00
19931221    ,0.24
19931222    ,0.07
19931223    ,0.09
19931224    ,0.14
19931227    ,0.04
19931228   ,-0.08
19931229   ,-0.16
19931230    ,0.30
19931231   ,-0.04
19940103   ,-0.24
19940104    ,0.23
19940105    ,0.23
19940106   ,-0.39
19940107    ,0.33
19940110    ,0.20
19940111   ,-0.05
19940112    ,0.01
19940113   ,-0.17
19940114   ,-0.06
19940117   ,-0.02
19940118    ,0.11
19940119   ,-0.05
19940120    ,0.08
19940121    ,0.17
19940124    ,0.07
19940125    ,0.15
19940126   ,-0.10
19940127    ,0.24
19940128    ,0.20
19940131    ,0.40
19940201    ,0.45
19940202    ,0.09
19940203    ,0.27
19940204    ,0.24
19940207   ,-0.58
19940208    ,0.03
19940209    ,0.01
19940210   ,-0.31
19940211   ,-0.02
19940214   ,-0.20
19940215    ,0.21
19940216    ,0.13
19940217    ,0.16
19940218    ,0.05
19940221    ,0.21
19940222    ,0.11
19940223   ,-0.09
19940224   ,-0.03
19940225   ,-0.54
19940228   ,-0.29
19940301   ,-0.32
19940302   ,-0.71
19940303    ,0.29
19940304    ,0.21
19940307    ,0.36
19940308    ,0.27
19940309    ,0.11
19940310    ,0.24
19940311   ,-0.35
19940314    ,0.03
19940315   ,-0.10
19940316    ,0.13
19940317    ,0.03
19940318   ,-0.30
19940321   ,-0.35
19940322    ,0.08
19940323    ,0.41
19940324   ,-0.26
19940325   ,-0.43
19940328   ,-0.50
19940329   ,-0.02
19940330    ,0.00
19940331   ,-0.32
19940401   ,-0.05
19940404    ,0.06
19940405   ,-0.46
19940406    ,0.43
19940407   ,-0.05
19940408    ,0.14
19940411   ,-0.02
19940412    ,0.34
19940413    ,0.35
19940414   ,-0.14
19940415   ,-0.17
19940418    ,0.20
19940419   ,-0.06
19940420    ,0.07
19940421   ,-0.29
19940422   ,-0.20
19940425    ,0.10
19940426   ,-0.12
19940427    ,0.21
19940428    ,0.15
19940429   ,-0.20
19940502    ,0.30
19940503    ,0.05
19940504    ,0.11
19940505   ,-0.59
19940506   ,-0.12
19940509   ,-0.48
19940510   ,-0.38
19940511    ,0.41
19940512   ,-0.06
19940513    ,0.56
19940516   ,-0.13
19940517    ,0.13
19940518    ,0.31
19940519   ,-0.09
19940520    ,0.01
19940523   ,-0.04
19940524   ,-0.18
19940525   ,-0.07
19940526   ,-0.14
19940527    ,0.42
19940530   ,-0.35
19940531   ,-0.11
19940601    ,0.00
19940602   ,-0.48
19940603   ,-0.47
19940606    ,0.03
19940607    ,0.14
19940608   ,-0.35
19940609    ,0.07
19940610   ,-0.08
19940613   ,-0.04
19940614   ,-0.61
19940615    ,0.09
19940616   ,-0.35
19940617    ,0.25
19940620   ,-0.79
19940621    ,0.44
19940622    ,0.43
19940623    ,0.51
19940624    ,0.65
19940627   ,-0.48
19940628    ,0.22
19940629   ,-0.19
19940630    ,0.17
19940701   ,-0.44
19940704    ,0.01
19940705    ,0.15
19940706   ,-0.14
19940707   ,-0.06
19940708    ,0.09
19940711    ,0.12
19940712    ,0.16
19940713    ,0.02
19940714   ,-0.25
19940715   ,-0.16
19940718   ,-0.28
19940719    ,0.06
19940720    ,0.72
19940721   ,-0.13
19940722    ,0.12
19940725   ,-0.07
19940726    ,0.05
19940727    ,0.00
19940728   ,-0.21
19940729    ,0.31
19940801    ,0.32
19940802   ,-0.31
19940803   ,-0.01
19940804   ,-0.26
19940805    ,0.14
19940808    ,0.00
19940809   ,-0.16
19940810    ,0.12
19940811    ,0.26
19940812   ,-0.14
19940815    ,0.16
19940816   ,-0.25
19940817   ,-0.09
19940818    ,0.16
19940819    ,0.41
19940822    ,0.19
19940823   ,-0.10
19940824   ,-0.41
19940825    ,0.03
19940826   ,-0.30
19940829    ,0.11
19940830    ,0.19
19940831   ,-0.12
19940901    ,0.20
19940902    ,0.70
19940905   ,-0.73
19940906    ,0.14
19940907    ,0.22
19940908   ,-0.07
19940909    ,0.44
19940912   ,-0.37
19940913    ,0.21
19940914    ,0.20
19940915   ,-0.22
19940916    ,0.52
19940919    ,0.21
19940920   ,-0.33
19940921    ,0.13
19940922   ,-0.03
19940923   ,-0.10
19940926   ,-0.31
19940927    ,0.01
19940928    ,0.11
19940929    ,0.32
19940930   ,-0.13
19941003   ,-0.07
19941004   ,-0.07
19941005    ,0.08
19941006   ,-0.32
19941007   ,-0.31
19941010   ,-0.22
19941011    ,0.00
19941012   ,-0.07
19941013   ,-0.21
19941014    ,0.32
19941017    ,0.14
19941018   ,-0.04
19941019    ,0.18
19941020    ,0.05
19941021    ,0.07
19941024    ,0.33
19941025   ,-0.22
19941026    ,0.11
19941027   ,-0.27
19941028    ,0.15
19941031    ,0.07
19941101    ,0.07
19941102   ,-0.33
19941103   ,-0.04
19941104   ,-0.15
19941107    ,0.06
19941108   ,-0.01
19941109   ,-0.07
19941110    ,0.38
19941111   ,-0.14
19941114   ,-0.01
19941115   ,-0.23
19941116   ,-0.06
19941117    ,0.22
19941118   ,-0.02
19941121    ,0.00
19941122   ,-0.21
19941123    ,0.08
19941124   ,-0.17
19941125   ,-0.15
19941128   ,-0.25
19941129   ,-0.21
19941130    ,0.06
19941201   ,-0.15
19941202    ,0.15
19941205   ,-0.11
19941206    ,0.06
19941207   ,-0.36
19941208    ,0.10
19941209   ,-0.01
19941212   ,-0.10
19941213    ,0.41
19941214   ,-0.04
19941215    ,0.61
19941216    ,0.07
19941219    ,0.01
19941220   ,-0.43
19941221    ,0.21
19941222    ,0.04
19941223    ,0.00
19941226   ,-0.14
19941227    ,0.22
19941228   ,-0.15
19941229    ,0.12
19941230    ,0.33
19950102   ,-0.13
19950103   ,-0.09
19950104   ,-0.46
19950105    ,0.30
19950106   ,-0.40
19950109    ,0.31
19950110    ,0.02
19950111    ,0.03
19950112    ,0.11
19950113    ,0.09
19950116    ,0.27
19950117    ,0.14
19950118    ,0.22
19950119    ,0.48
19950120    ,0.22
19950123    ,0.72
19950124    ,0.12
19950125   ,-0.05
19950126   ,-0.18
19950127    ,0.32
19950130    ,0.25
19950131   ,-0.02
19950201   ,-0.03
19950202    ,0.07
19950203   ,-0.12
19950206   ,-0.33
19950207   ,-0.11
19950208    ,0.07
19950209    ,0.00
19950210    ,0.17
19950213    ,0.04
19950214    ,0.47
19950215   ,-0.08
19950216    ,0.12
19950217    ,0.31
19950220    ,0.37
19950221   ,-0.30
19950222    ,0.05
19950223   ,-0.63
19950224    ,0.27
19950227   ,-0.09
19950228    ,0.00
19950301    ,0.10
19950302   ,-0.16
19950303   ,-0.12
19950306    ,0.13
19950307    ,0.30
19950308    ,0.22
19950309    ,0.12
19950310    ,0.60
19950313   ,-0.26
19950314    ,0.03
19950315    ,0.05
19950316   ,-0.41
19950317    ,0.65
19950320   ,-0.33
19950321   ,-0.36
19950322    ,0.42
19950323    ,0.07
19950324   ,-0.09
19950327   ,-0.35
19950328   ,-0.10
19950329    ,0.16
19950330   ,-0.49
19950331    ,0.44
19950403    ,0.64
19950404   ,-0.16
19950405    ,0.22
19950406   ,-0.13
19950407   ,-0.44
19950410    ,0.03
19950411    ,0.41
19950412   ,-0.10
19950413   ,-0.37
19950414   ,-0.32
19950417    ,0.19
19950418    ,0.33
19950419    ,0.24
19950420    ,0.01
19950421   ,-0.18
19950424    ,0.06
19950425   ,-0.25
19950426   ,-0.19
19950427   ,-0.23
19950428   ,-0.65
19950501   ,-0.06
19950502    ,0.02
19950503   ,-0.07
19950504   ,-0.52
19950505   ,-0.39
19950508   ,-0.09
19950509   ,-0.70
19950510   ,-0.67
19950511    ,0.19
19950512   ,-0.19
19950515   ,-0.30
19950516   ,-0.19
19950517    ,0.24
19950518    ,0.44
19950519    ,0.23
19950522    ,0.86
19950523    ,0.82
19950524   ,-0.39
19950525    ,0.75
19950526    ,0.10
19950529    ,0.03
19950530   ,-0.66
19950531   ,-0.67
19950601    ,0.21
19950602   ,-0.25
19950605   ,-0.02
19950606    ,0.13
19950607    ,0.26
19950608    ,0.37
19950609    ,0.16
19950612    ,1.02
19950613    ,0.07
19950614    ,0.04
19950615    ,0.11
19950616    ,0.53
19950619    ,0.39
19950620    ,0.22
19950621   ,-0.20
19950622    ,0.03
19950623   ,-0.02
19950626    ,0.07
19950627    ,0.33
19950628    ,0.17
19950629    ,0.44
19950630    ,0.11
19950703    ,0.05
19950704   ,-0.28
19950705    ,0.28
19950706    ,0.19
19950707   ,-0.59
19950710    ,0.17
19950711   ,-0.16
19950712    ,0.11
19950713    ,0.36
19950714   ,-0.26
19950717   ,-0.18
19950718    ,0.25
19950719   ,-0.09
19950720   ,-0.02
19950721   ,-0.18
19950724    ,0.08
19950725   ,-0.23
19950726    ,0.09
19950727    ,0.16
19950728    ,0.31
19950731   ,-0.11
19950801   ,-0.30
19950802    ,0.03
19950803   ,-0.16
19950804   ,-0.18
19950807   ,-0.21
19950808    ,0.31
19950809    ,0.26
19950810   ,-0.02
19950811    ,0.17
19950814    ,0.02
19950815   ,-0.01
19950816   ,-0.10
19950817    ,0.31
19950818    ,0.42
19950821   ,-0.11
19950822    ,0.08
19950823    ,0.33
19950824    ,0.36
19950825    ,0.15
19950828    ,0.16
19950829   ,-0.17
19950830    ,0.09
19950831    ,0.23
19950901    ,0.19
19950904    ,0.58
19950905    ,0.24
19950906    ,0.23
19950907    ,0.36
19950908    ,0.23
19950911    ,0.65
19950912    ,0.18
19950913   ,-0.13
19950914    ,0.16
19950915    ,0.28
19950918   ,-0.08
19950919    ,0.42
19950920    ,0.44
19950921    ,0.21
19950922    ,0.16
19950925   ,-0.03
19950926    ,0.20
19950927    ,0.15
19950928    ,0.35
19950929    ,0.02
19951002    ,0.31
19951003    ,0.35
19951004    ,0.27
19951005    ,0.11
19951006    ,0.45
19951009    ,0.28
19951010   ,-0.14
19951011    ,0.33
19951012    ,0.57
19951013    ,0.52
19951016    ,0.62
19951017    ,0.38
19951018    ,0.43
19951019    ,0.26
19951020    ,0.69
19951023    ,0.37
19951024    ,0.10
19951025   ,-0.18
19951026   ,-0.67
19951027   ,-0.28
19951030   ,-0.17
19951031   ,-0.05
19951101    ,0.12
19951102   ,-0.52
19951103    ,0.49
19951106    ,0.27
19951107    ,0.05
19951108   ,-0.27
19951109    ,0.36
19951110    ,0.06
19951113   ,-0.12
19951114    ,0.21
19951115   ,-0.33
19951116   ,-0.50
19951117    ,0.05
19951120    ,0.56
19951121    ,0.14
19951122    ,0.14
19951123    ,0.11
19951124   ,-0.23
19951127    ,0.09
19951128    ,0.07
19951129    ,0.28
19951130    ,0.63
19951201    ,0.32
19951204    ,0.58
19951205    ,0.24
19951206   ,-0.11
19951207   ,-0.48
19951208   ,-0.40
19951211   ,-0.05
